name(이름),description(설명),start_date(시작일),end_date(종료일),region(지역),detail_region(상세지역),latitude(위도),longitude(경도),fee(참가요금),organizer(주최기관),contact_phone(연락처),website_url(공식홈페이지),visitor_count(방문객수),Tag
Danjong Cultural Festival,"The Danjong Cultural Festival is a representative local cultural festival in Yeongwol that sublimates the souls of King Danjong, the sixth king of the Joseon Dynasty, into a festival. Beginning in 1967 with the name ""Danjongje,"" the festival has been renamed ""Danjong Cultural Festival"" since the 24th edition in 1990, and has been reaching out to visitors with various experiences. In Yeongwol, where the tomb of the sixth King Danjong of the Joseon Dynasty is located, the 58th King Danjong Cultural Festival will be held for three days from April 25 (Fri) to 27 (Sun), 2025. This year's King Danjong Cultural Festival will host a variety of events, including the Danjong bureau chief, Danjongjehyang, Queen Jeongsoon contest, kudzu rope bridge, experience event, Cham travel agency, and performance event.
[Contents of the event]
1. Main program
- Danjonggukjang, Danjongjehyang, Queen Jeongsoon Contest, arrowhead band, Danjong Parade, Royal Cuisine Contest

2. supplementary program
- Danjong Experience, Baekiljang, Sasaeng Contest, Academic Symposium, Local Artist Exhibition, Ggaebinoliter, Yeongwol Traditional Food Experience, etc

3. Other programs
- Yeongwol Matte Market, Photo Zone, Yeongtari Goods Shop, etc",2025.04.25,2025.04.27,Gangwon,Jangneung Tomb and Donggang Riverside,37.186171,128.468299,free,Yeongwol County Office,033-370-2853,https://www.danjong.co.kr/danjong,1250,"Food,Culture,Spring,Music/Show,Heritage,Specialty,Join"
Donggang International Photo Festival,"The Donggang International Photo Festival, which marks its 23rd anniversary this year, is a representative photo event in Korea made by domestic and foreign photographers, Gangwon residents, Yeongwol County residents, and photo lovers, and will be held from July 11 (Friday) to September 28 (Sunday) in Yeongwol-gun, including the Donggang Photo Museum. In particular, this year, various exhibitions are being prepared to mark the 20th anniversary of the opening of the Donggang Photo Museum, Korea's first public photo museum. In this year's ""Donggang Photo Award Winner Exhibition"", you can appreciate the works of Won Sung-won, the winner of this year's Donggang Photo Award. In addition, the ""International Theme Exhibition"" is being organized as a photo exhibition under the theme of ""Museum Project"" in connection with a special exhibition of archives commemorating the 20th anniversary of the opening of the Donggang Photo Museum. In addition, you can see 19 works selected for the ""International Competition"" in which artists from all over the world participated online. In addition, various exhibitions will be held in Yeongwol-gun, Gangwon-do, which is beautiful, as it is an annual event awaited by photographers from all over the world, such as ""Gangwon State Photo Home Appliance,"" ""Press Photo Home Appliance,"" ""Street Installation Exhibition,"" ""Street Installation Exhibition,"" ""Yeongwol County People Photo Diary Contest,"" ""Yeongwol Storytelling Exhibition,"" and ""Donggang Photo Portfolio Review."" *Please refer to the official website (www.dgphotofestival.com ) for more information.

[Contents of the event]
The opening ceremony of the 23rd Donggang International Photo Festival will be held at 7 p.m. on July 18, 2025 (Friday), one week after the opening of the exhibition, at the outdoor plaza of the Donggang Photography Museum. The opening ceremony will consist of celebratory performances and photo video shows, along with an event to celebrate the 20th anniversary of the opening of the Donggang Photography Museum, an award for the Donggang Photography Awards, and an award for the National Elementary School Student Photo Diary Contest. In addition, participatory events such as a review of university students' potvolio, a Donggang Photo Journalism Workshop, a prize-winning exhibition of the Tintin Photo Contest, and happy family photoshoots and exhibitions will be held during the Donggang International Photo Festival. * Details on the schedule of the participating event will be announced later on the official website (www.dgphotofestival.com ).",2025.07.11,2025.09.28,Gangwon,Donggang Photo Museum,37.182014,128.461487,free,Yeongwol County Office,033-370-2904,https://www.dgphotofestival.com/,690,"Family,Children,Summer,Music/Show,Nature,All Ages,Join"
Donggang Raft Festival,"The Donggang Raft Festival is a representative summer festival in Yeongwol that sublimates rafts, which were a means of life and transportation for the residents of the upper Namhan River until the 1960s, into a festival. The Donggang Raft Festival, which began in 1997, is approaching visitors with a variety of experiences as well as the reproduction, succession and development of raft culture. The 26th Donggang Raft Festival, which will take place on the banks of the Donggang River in Yeongwol, will be held for three days from August 1 to 3, 2025. This year's Donggang Raft Festival will host a variety of events, including a raft demonstration that creates a raft by weaving trees around the Donggang River and recreates the lives of rafts that moved along the Donggang River, water parks, canoe experiences, and performance events.
[Contents of the event]
1. Main program and auxiliary program: Opening ceremony, celebratory performance, raft test, demonstration, DJ party, Donggang Fireworks Show
2. Audience Join programs: water park, youth dance competition, water boat tug-of-war competition, canoe experience, Yeongwol train, water dance party",2025.08.01,2025.08.03,Gangwon,Donggang Riverside,37.179489,128.469178,free,Yeongwol County Office,033-370-2863,https://ywfestival.com/archive/works/58,900,"Culture,Summer,Music/Show,Nature,All Ages,Specialty,Youth,Join"
Kim Satgat Cultural Festival,"In Yeongwol, a cultural city where nature, history, culture, and art coexist, it is a festival that commemorates the spirit of the times and literary art spirit of the late Kim Byung-yeon (Kim Sat-gat), and re-examines literary values. It is one of the four major festivals in Yeongwol, which was held to reinterpret Kim Sat-gat's zeitgeist and cultural heritage from a modern perspective, as well as existing events such as meeting with Kim Sat-gat literary people, academic symposiums, walking the path of Kim Sat-gat's humor, national whiho competition, general and student 100 Il-jang, and sketch competition.
[Contents of the event]
1. Main program
-Kim Sat-gatjehyang, Kim Sat-gat Literary Award, Walking the Road of Kim Sat-gat Hae-hak, Joseon Dynasty Past Daejeon

2. a literary event
- National 100 Days Market, National Hwiho Contest, Kim Sat-gat Poetry Calligraphy Contest, Meeting with Literary Artists, Academic Symposium, Korean Literature Symposium, etc

3. performance and exhibition events
- Opening performance, Kim Sat-gat Art Festival, Kim Sat-gat Ram Contest winner performance, Book Concert, Art and Book, Kim Sat-gat We Art, Graffiti Photo Zone

4. a true travel agency
- Writer + Romantic Warfare, Kim Sat-gat Romantic Camp, God Potters 2nd generation

5.. Supplementary program
- Sweet Table, Literature Market",2025.10.17,2025.10.19,Gangwon,Kim Satgat Park Area,37.186156,128.468225,free,Yeongwol County Office,033-370-2853,https://blog.naver.com/ywcf6366,549,"Food,Culture,Music/Show,Nature,Heritage,Join"
2025 Pyeongchang Trout Festival,"Every winter, our ancestors lined up next door with a lot of snow and made a snow tunnel along the line. There was a difficult time when they hammered large rocks in the river and hunted winter fish to eat when the tide merged early in the cold river breeze. Here, the Pyeongchang Trout Festival is held from the end of December to the end of January every year under the theme of Winter Story with Snow, Ice and Trout by sublimating the persecution of our ancestors' lives into a festival. From the ice, you can feel the thrilling taste of trout fishing while the fish is transparent in Odaecheon Stream and feel the joy of a true winter festival with various winter experience events.
[Contents of the event]
Ice fishing, tent fishing, children's fishing area, golden trout bare hands, ice plaza experience (snow sledding, snow rafting, ice bike, argo riding experience, skating, etc.)",2025.01.03,2025.02.02,Gangwon,"Odaecheon Stream Area, Jinbu-myeon, Pyeongchang",37.633262,128.556931,free,Pyeongchang County Office,033-330-2466,https://www.festival700.or.kr/,880,"Family,Winter,Children,Nature,All Ages,Join"
2025 Daegwallyeong Snow Flower Festival,"Thirty years ago, several young people from Daegwanryeong, the center of winter in Korea, gathered to create the Snow Festival. The Daegwanryeong Snow Festival, which began in 1993, is the first winter festival to be born in the country and boasts a history of more than 30 years. It is held every year with the aim of overcoming the off-season in winter to revitalize the local economy and harmonize residents, and has developed into a festival visited by many tourists. This year's festival, which is held under the theme of Snowflake Travel with Snowflakes, the mascot of Pyeongchang-gun, consists of a theme of enjoying the winter of Pyeongchang-gun along with Snowflake, the mascot of Pyeongchang-gun. You can experience the best joy of winter at the ""2025 Daegwanryeong Snowflake Festival,"" which has greatly increased various experience events that children can enjoy.
[Contents of the event]
1. Main program: Large snow sculptures, super large snow tunnels
2. Supplementary programs: Hwangbyeongsan Wild Boar Ice Thing, New Year's folk games, large snow sculpture photo zone, snowflake sledding, ice playground, snow playground, outdoor grate, local traditional food, etc",2025.01.24,2025.02.02,Gangwon,"Songcheon Area, Daegwallyeong-myeon, Pyeongchang",37.672417,128.711195,free,Pyeongchang County Office,033-330-2712,https://www.snowfestival.net/,985,"Family,Winter,Food,Adult,Children,Nature,All Ages,Heritage,Specialty,Join"
50th Jeongseon Arirang Festival,"Jeongseon Arirang Festival, which was started with the aim of transmitting and preserving Jeongseon Arirang, is a festival that allows performances of various genres, folk demonstrations, and experiences, including those of Jeongseon Arirang holders. It shows the true appearance of Arirang and a new aspect of Arirang, which has been interpreted modernly.
[Contents of the event]
1. Main program
- The theme performance of the opening ceremony, ""Jeongseon, the people's hometown! I want to go, Jeongseon!""

2. supplementary program
- The National Arirang Competition (General & Student Affairs), A-POP Dance Competition, Arirang Singing Contest, Arirang Singing Contest, Musical Performance 'Arirang', Jeongseon County Arirang Art Troupe Performance, Arirang Parade, Traditional Culture Experience Exhibition, Various Fringe Performances, etc

3. a consumer engagement program
- Jeongseon Traditional Mungle Market, Food Market, Night Market

4. Other content
- Invited overseas performances, various fringe performances for 4 days",2025.09.25,2025.09.28,Gangwon,Jeongseon Public Stadium Area,37.377322,128.665979,free,Jeongseon County Office,033-560-2548,https://arirangfestival.kr/,2358,"Food,Culture,Music/Show,Heritage,Join"
13th Cheorwon Hantan River Ice Trekking Festival,"Since 2013, it has been established as a representative winter festival by enjoying basalt canyons and columnar joints formed around the only river in Korea in January every year in the Hantan River in Cheorwon-gun, Gangwon-do.
[Contents of the event]
1. Main program: Opening ceremony, ice trekking course operation, operation of driving site at the bottom of Seungil Bridge, dung wind roosting competition
2. Supplementary programs: K-Antarctic snow landmarks, Winterland snow sledding grounds, Iceland ice playground, Hantan River zip line, live studio operation, etc
3. Consumer Join Program: Wish Paper Program, Wooden Grater, Event Program
4. Other information: Operation of a resting food food booth at the Seungil Bridge event hall

*Charges
10,000 won for personal (individual) -> 5,000 won for Cheorwon Love Gift Certificate exchange
8,000 won for person (group) -> 4,000 won for Cheorwon Love Gift Certificate exchange
Small (individual) 4,000 won -> Cheorwon Love Gift Certificate exchange 2,000 won
3,000 won for children (group) -> 1,000 won for Cheorwon Love Gift Certificate exchange",2025.01.11,2025.01.19,Gangwon,Cheorwon Hantan River Water Path Trekking Area,38.205805,127.269903,"Adult 10,000 KRW, Child 4,000 KRW",Cheorwon County Office,033-450-4275,https://gcwcf.or.kr/,1099,"Family,Winter,Food,Culture,Children,Nature,All Ages,Join"
18th Cheorwon Hwacheon Marsh Snail Festival,"It is a family tourism experience summer festival held under the theme of marsh snail and water in the granite area of Kimhwa-eup, Cheorwon-gun, which is the cleanest first-class summer festival in Gangwon-do. Kimhwa Hwagang, where the marsh snail festival is held, is in the spotlight as the best summer water playground for everyone, regardless of age or sex, as the water depth is low and clear water flows. Various programs such as catching marsh snails, 200,000 water balloon competitions, water pools and water slides, and swimming pools are operated, and they also provide experiences that are not easily accessible to the general public, such as exhibiting and experiencing military equipment with the best elite Army's 3rd Infantry Division. Official opening performances and fireworks set off a summer night, and there are things to see, eat, and enjoy.
[Contents of the event]
1. something to see
- a night of harmony between the public and private sectors
- opening performance
- a national sword dance contest
- 3rd Infantry Division Military Culture Experience Program

2. something to enjoy
- Event program (Goblin Daejeon, 200,000 Water Balloon Daejeon)
- Experience facility program (swim pool, water slide, swimming pool, infant pool, large slide, water leisure experience, catch golden marsh snail)

3. food
- Promoting and selling agricultural products and local food yard

4. Fees for use
- Free pass: General 10,000 won / Children 10,000 won (Children return Cheorwon Love Gift Certificate 5,000 won) / Child 3,000 won
- Catch the golden marsh snail: 10,000 won -> Cheorwon Love Gift Certificate returned 5,000 won
- Large, Korean Peninsula Swimming Pool: W2,000
- Water slide: KRW 3,000",2025.07.31,2025.08.03,Gangwon,Hwagang Shiri Park and Kimhwa Sports Park Area,38.247529,127.414776,"Adult 10,000 KRW",Cheorwon County Office,033-450-4275,https://www.gcwcf.or.kr/w1_c_1_3/1,1200,"Family,Food,Culture,Children,Summer,Music/Show,Nature,All Ages,Specialty,Join"
42nd Taebong Festival,"Cheorwon is known as the first granary in the central part with a long life, good heart, and abundant and vast agricultural land as a royal road of the former Taebongguk, and holds the annual Taebong Festival in early October to commemorate the tradition of the region for a long time, promote national reconciliation, and celebrate the succession and development of local culture and abundant farming.

Starting with cultural/special events, the Taebong Festival will feature a variety of events to watch, including Taebong Jerye and celebrity celebrations, and on the day of the main event, various folk games, a military talent show, a parade of royal court officials and the coronation ceremony will be held.",2025.10.02,2025.10.04,Gangwon,Cheorwon Sports Complex Area,38.159683,127.300742,free,Cheorwon County Office,033-450-4275,https://gcwcf.or.kr/w1_c_2_3/1,993,"Culture,Music/Show,Nature,Heritage,Join"
